position,nameid,name,id,rosterposition,salary,gameinfo,teamabbrev,avgpointspergame,datetime,opp,team_id,opp_team_id,shortname,player_id,game_date,slateid
SF/PF,Keshad Johnson (37170798),Keshad Johnson,37170798,SF/PF/F/UTIL,3000,MIA@HOU 12/29/2024 07:00PM ET,MIA,1.92,2024-12-29 19:00:00-05:00,HOU,1610612748,1610612745,keshadjohnson,1642352,2024-12-29,Main
PG,Josh Christopher (37170802),Josh Christopher,37170802,PG/G/UTIL,3000,MIA@HOU 12/29/2024 07:00PM ET,MIA,-0.5,2024-12-29 19:00:00-05:00,HOU,1610612748,1610612745,joshchristopher,1630528,2024-12-29,Main
C,Kevin Love (37170805),Kevin Love,37170805,C/UTIL,3000,MIA@HOU 12/29/2024 07:00PM ET,MIA,15.5,2024-12-29 19:00:00-05:00,HOU,1610612748,1610612745,kevinlove,201567,2024-12-29,Main
SF,Pelle Larsson (37170807),Pelle Larsson,37170807,SF/F/UTIL,3000,MIA@HOU 12/29/2024 07:00PM ET,MIA,10.9,2024-12-29 19:00:00-05:00,HOU,1610612748,1610612745,pellelarsson,1641796,2024-12-29,Main
PG,Josh Richardson (37170810),Josh Richardson,37170810,PG/G/UTIL,3000,MIA@HOU 12/29/2024 07:00PM ET,MIA,10.25,2024-12-29 19:00:00-05:00,HOU,1610612748,1610612745,joshrichardson,1626196,2024-12-29,Main
PF,Dillon Jones (37170659),Dillon Jones,37170659,PF/F/UTIL,3000,MEM@OKC 12/29/2024 07:00PM ET,OKC,5.71,2024-12-29 19:00:00-05:00,MEM,1610612760,1610612763,dillonjones,1641794,2024-12-29,Main
PF/C,Ousmane Dieng (37170670),Ousmane Dieng,37170670,PF/C/F/UTIL,3000,MEM@OKC 12/29/2024 07:00PM ET,OKC,9.12,2024-12-29 19:00:00-05:00,MEM,1610612760,1610612763,ousmanedieng,1631172,2024-12-29,Main
C,Branden Carlson (37170674),Branden Carlson,37170674,C/UTIL,3000,MEM@OKC 12/29/2024 07:00PM ET,OKC,3.71,2024-12-29 19:00:00-05:00,MEM,1610612760,1610612763,brandencarlson,1642382,2024-12-29,Main
PG,Adam Flagler (37170676),Adam Flagler,37170676,PG/G/UTIL,3000,MEM@OKC 12/29/2024 07:00PM ET,OKC,2.64,2024-12-29 19:00:00-05:00,MEM,1610612760,1610612763,adamflagler,1641745,2024-12-29,Main
SG,Alex Ducas (37170679),Alex Ducas,37170679,SG/G/UTIL,3000,MEM@OKC 12/29/2024 07:00PM ET,OKC,0.0,2024-12-29 19:00:00-05:00,MEM,1610612760,1610612763,alexducas,1642505,2024-12-29,Main
PG,Nikola Topic (37170682),Nikola Topic,37170682,PG/G/UTIL,3000,MEM@OKC 12/29/2024 07:00PM ET,OKC,0.0,2024-12-29 19:00:00-05:00,MEM,1610612760,1610612763,nikolatopic,1642260,2024-12-29,Main
C,Colin Castleton (37170780),Colin Castleton,37170780,C/UTIL,3000,MEM@OKC 12/29/2024 07:00PM ET,MEM,2.59,2024-12-29 19:00:00-05:00,OKC,1610612763,1610612760,colincastleton,1630658,2024-12-29,Main
SG,Cam Spencer (37170782),Cam Spencer,37170782,SG/G/UTIL,3000,MEM@OKC 12/29/2024 07:00PM ET,MEM,7.38,2024-12-29 19:00:00-05:00,OKC,1610612763,1610612760,camspencer,1642285,2024-12-29,Main
SG/SF,John Konchar (37170785),John Konchar,37170785,SG/SF/F/G/UTIL,3000,MEM@OKC 12/29/2024 07:00PM ET,MEM,9.97,2024-12-29 19:00:00-05:00,OKC,1610612763,1610612760,johnkonchar,1629723,2024-12-29,Main
C,Jay Huff (37170790),Jay Huff,37170790,C/UTIL,3000,MEM@OKC 12/29/2024 07:00PM ET,MEM,17.04,2024-12-29 19:00:00-05:00,OKC,1610612763,1610612760,jayhuff,1630643,2024-12-29,Main
PF,Gregory Jackson (37170792),Gregory Jackson,37170792,PF/F/UTIL,3000,MEM@OKC 12/29/2024 07:00PM ET,MEM,0.0,2024-12-29 19:00:00-05:00,OKC,1610612763,1610612760,gregoryjackson,,2024-12-29,Main
